Node;Core Influences
PTA-GREYN2-TSN282-INNHUB;0.042457199507212405
PTA-GREYS1-TSN30-NRF;0.04245719950721237
PTA-GREYS1-TSN301-DST;0.04245719950721234
PTA-GREYN1-TSN354-TUT-MONITOR;0.021228599753619844
PTA-TSN940-DHA-SOSH;0.021228599753613943
PTA-GREYS2-TSN509-UP-MAMC;0.02122859975361204
CPT-GREYSLB1-TSN103-CSIR;0.021228599753608447
CPT-GREYSLB1-TSN292-ARCINFR;0.02122859975360839
CPT-GREYSS1-TSN500-CPUTSPR;0.021228599753607323
CPT-GREYSS1-TSN495-UCTVH;0.021228599753606997
LDN1-IR1-LDN1-PR1;0.021228599753606883
AMS1-IR1-AMS1-PR1;0.02122859975360688
CPT-TSN943-DHA-WYNBERG;0.02122859975360684
PZB-TSN670-ARC-CACWL;0.02122859975360684
CPT3-PE1-CPT3-PR2;0.021228599753606834
SMT-TSN590-IMT;0.02122859975360683
PZB-TSN267-SAEON-GWFN;0.02122859975360683
PZB-TSN534-HSRC-SW;0.02122859975360681
SLB-TSN750-DOA-ELSEN;0.02122859975360679
UTT-TSN363-WSU-ZAM;0.02122859975360679
NC-SAAO-TSN91-SUTH;0.021228599753606782
CPT3-PE1-CPT3-PR1;0.021228599753606775
ZEH-TSN938-DHA-POTCH;0.021228599753606775
UTT-TSN189-UNISA-MTH;0.021228599753606775
BFN-GREY1-TSN246-UFSPSY;0.021228599753606768
DBN-TSN935-DHA-UMGENI;0.021228599753606758
BFN-GREY1-TSN173-UNISAB;0.021228599753606754
UTT-TSN362-WSU-MHRC;0.021228599753606744
DUR3-PE1-DUR3-PR1;0.021228599753606737
CPT9-PE2;0.021228599753606737
ISD1-PE1-ISD1-PR1;0.021228599753606733
ISD1-PE2-ISD1-PR3;0.021228599753606733
VDP-GREY1-TSN90-VUTMC;0.021228599753606723
ISD1-PE1-ISD1-RR1;0.021228599753606716
MFK-TSN32-NWUM;0.021228599753606713
PTA-TSN15-HARTRAO;0.021228599753606702
CPT1-IR1-CPT1-RR1;0.021228599753606678
CPT1-IR1-CPT1-PR1;0.021228599753606643
CPT1-LG1;0.021228599753606643
MTZ1-IR1-MTZ1-RR1;0.0212285997536066
RCB-TSN20-AHRI-SOM-1;0.02122859975360659
LCD-TSN186-UNISAM;0.021228599753606487
THY-TSN87-UNIVEN-SSB;0.021228599753606473
PTA-CSIR-TWR;0.021228599753606216
PTA-TSN397-ARCPPRI;0.021228599753606178
PTA-CSIR-SCALAB;0.021228599753606147
NLP-TSN537-ARC-ITSC;0.02122859975360614
